status_id,status_message,link_name,status_type,status_link,status_published
1818120751735505_1819308641616716,,Sᴇʟᴇᴄᴛᴇᴅ Aᴍʙɪᴇɴᴛ Mᴇᴍᴇs Vᴏʟ. III,link,https://www.facebook.com/SelectedAmbientMemesV3/posts/698110040337281,2016-10-26 19:37:58
1818120751735505_1819276284953285,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1819276284953285/?type=3,2016-10-26 18:24:48
1818120751735505_1819259161621664,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1819259161621664/?type=3,2016-10-26 17:46:48
1818120751735505_1819217144959199,they comin,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1819217144959199/?type=3,2016-10-26 15:26:26
1818120751735505_1819121374968776,My ears are candling,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1819121374968776/?type=3,2016-10-26 11:29:18
1818120751735505_1818936711653909,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1818936711653909/?type=3,2016-10-26 02:48:18
1818120751735505_1818858941661686,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1818858941661686/?type=3,2016-10-25 22:02:28
1818120751735505_1818843434996570,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1818843434996570/?type=3,2016-10-25 21:07:41
1818120751735505_1818701265010787,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1818701265010787/?type=3,2016-10-25 13:46:45
1818120751735505_1818401505040763,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1818401505040763/?type=3,2016-10-24 23:37:45
1818120751735505_1818372021710378,changing this name to IV instead of II to keep the dead in the ground,,status,,2016-10-24 22:50:53
1818120751735505_1818365745044339,rip,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1818365745044339/?type=3,2016-10-24 22:27:47
1818120751735505_1818331441714436,,Hot Dogs In Unusual Places,photo,https://www.facebook.com/unusualhotdogs/photos/a.994348660682218.1073741828.994338887349862/1063945720389178/?type=3,2016-10-24 20:59:32
1818120751735505_1818262698387977,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1818262698387977/?type=3,2016-10-24 16:49:55
1818120751735505_1818228185058095,how do i know if im pegrant?,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1818228185058095/?type=3,2016-10-24 15:58:09
1818120751735505_1818225048391742,"In memory of Jack T. Chick, a soldier of Christ who passed away yesterday. We'll never forget your wise ""Chick Tracts"" that showed us the true path, the path of light.",Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1818225048391742/?type=3,2016-10-24 15:52:03
1818120751735505_1818212405059673,,Selected Ambient Memes Vol. IV's cover photo,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818212391726341.1073741828.1818120751735505/1818212381726342/?type=3,2016-10-24 15:32:19
1818120751735505_1818180881729492,"Sᴇʟᴇᴄᴛᴇᴅ Aᴍʙɪᴇɴᴛ Mᴇᴍᴇs Vᴏʟ. III 's
new backup old name",,status,,2016-10-24 14:30:38
1818120751735505_1818158491731731,,Timeline Photos,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818158515065062.1073741827.1818120751735505/1818158491731731/?type=3,2016-10-24 13:24:14
1818120751735505_1818157435065170,,Selected Ambient Memes Vol. IV,photo,https://www.facebook.com/SelectedAmbient/photos/a.1818120945068819.1073741826.1818120751735505/1818157435065170/?type=3,2016-10-24 13:20:11
